1. Общие положения;1
1.1. Назначение документа.;-1
1.2. Основания для разработки.;-1
1.3. Особенности разработки и ключевые ценности Стратегии СЭР.;-1
1.4. Основные термины и определения.;-1
2. Оценка достигнутых целей и анализ основных направлений социально-экономического развития Ярославской области в 2005 - 2012 годах;2
2.1. Анализ основных направлений развития Ярославской области.;6
2.2. Ключевые проблемы, сдерживающие развитие Ярославской области.;-1
2.3. Внутренние факторы социально-экономического развития Ярославской области.;-1
2.4. Внешние факторы социально-экономического развития Ярославской области.;-1
3. Приоритеты, цели и показатели достижения целей;3
3.1. Целевой образ региона.;3
3.2. Главная цель социально-экономического развития региона.;3
3.3. Стратегические приоритеты (движители) развития.;3
3.4. Цели и показатели социально-экономического развития по направлениям.;3
4. Ключевые направления социально-экономического развития региона;6
4.1. Экономика.;-1
4.2. Социальная сфера.;-1
4.3. Инфраструктура.;-1
4.4. Государственное управление.;-1
4.5. Цифровая трансформация.;-1
5. Сроки и этапы реализации Стратегии СЭР;14
"5.1. Этап 1 ""Разработка и запуск механизмов развития"" (2013 - 2015 годы).";14
"5.2. Этап 2 ""Ликвидация критических отставаний"" (2016 - 2020 годы).";14
"5.3. Этап 3 ""Ликвидация критических отставаний"" (2021 - 2025 годы).";14
"5.4. Этап 4 ""Опережающий рост"" (2026 - 2030 годы).";14
6. Перечень государственных программ Ярославской области, утверждаемых в целях реализации Стратегии СЭР;18
7. Оценка финансовых ресурсов, необходимых для реализации Стратегии СЭР;13
Таблица 30;-1
Список используемых сокращений;-1
Приложение 1. ОСНОВНЫЕ ПОКАЗАТЕЛИ социально-экономического развития Ярославской области;15
Таблица 1;-1
Таблица 2;-1
Таблица 3;-1
Таблица 4;-1
Таблица 5;-1
Таблица 6;-1
Таблица 7;-1
Таблица 8;-1
Таблица 9;-1
Таблица 10;-1
Таблица 11;-1
Таблица 12;-1
Приложение 2. ПЕРЕЧЕНЬ ведущих промышленных предприятий области;-1
Список используемых сокращений;-1
Приложение 3. SWOT-АНАЛИЗ социально-экономического развития;-1
Таблица 1;-1
Таблица 2;-1
Таблица 3;-1
Таблица 4;-1
Таблица 5;-1
Таблица 6;-1
Таблица 7;-1
Список используемых сокращений;-1
Приложение 4. МЕТОДИКА анализа портфеля стратегических отраслей реального сектора экономики Ярославской области;-1
Рисунок 1;-1
Рисунок 2;-1
Рисунок 3;-1
Список используемых сокращений;-1
Приложение 5. ПЕРЕЧЕНЬ ключевых инициатив (стратегических проектов развития);-1
"Приложение 6. ИНДИКАТОРЫ проекта ""10 точек роста""";-1
